"","county_fips","total_flu","total_asymp_flu","percent_asymp_flu","percent_5_12_flu","percent_18_49_flu","percent_0_4_flu","percent_50_64_flu","percent_65_plus_flu","percent_13_17_flu","percent_female_flu","percent_white_flu","percent_black_flu","percent_hispanic_flu","percent_asian_flu","total_covid","total_rsv","total_all_cause","avg_temp","avg_humidity","percent_poor_health","days_poor_mental_health","percent_obese","rate_doctors","percent_unemployed","life_expectancy","percent_mental_distress","median_hh_income","population","percent_rural","percent_vaccinated","icu_beds","percent_asymp_flu_log","percent_asymp_flu_scale","percent_flu","percent_rsv","percent_covid","rate_icu_beds","median_hh_income_scale","population_scale","percent_65_plus_flu_scale","percent_white_flu_scale","percent_female_flu_scale","percent_poor_health_scale","percent_obese_scale","percent_mental_distress_scale","percent_rural_scale","percent_vaccinated_scale"
"11","01021",140,41,0.292857142857143,0.114285714285714,0.207142857142857,0.1,0.164285714285714,0.335714285714286,0.0785714285714286,0.578571428571429,0.91044776119403,0.0447761194029851,0.0447761194029851,0,213,5,17214,64.8241238126981,72.8963177449038,0.206,5.938820536,0.423,22.08773,0.0226981151,73.487855388,0.197,61823,45884,0.8554449727,0.37,6,3.3770998300831,29.2857142857143,8.13291506912978,0.290461252468921,12.373649355176,13.0764536657658,6.1823,0.45884,33.5714285714286,91.044776119403,57.8571428571429,20.6,42.3,19.7,85.54449727,37
"12","01023",13,5,0.384615384615385,0.0769230769230769,0.461538461538462,0,0.0769230769230769,0,0.384615384615385,0.615384615384615,0.8,0.2,0,0,66,5,2836,66.3500945496643,73.649870406112,0.241,6.3228641698,0.447,39.89468,0.0383899488,73.840201715,0.205,44458,12439,1,0.34,0,3.64965874096066,38.4615384615385,4.58392101551481,1.76304654442877,23.2722143864598,0,4.4458,0.12439,0,80,61.5384615384615,24.1,44.7,20.5,100,34
"13","01025",45,22,0.488888888888889,0.155555555555556,0.266666666666667,0.0222222222222222,0.0444444444444444,0.466666666666667,0.0444444444444444,0.6,0.67741935483871,0.290322580645161,0.032258064516129,0,133,10,6388,66.4986919747199,71.7951690151984,0.237,5.8319293219,0.434,39.54306,0.0500389914,70.976784154,0.197,44906,22515,1,0.26,0,3.88955014957609,48.8888888888889,7.04445835942392,1.56543519098309,20.8202880400751,0,4.4906,0.22515,46.6666666666667,67.741935483871,60,23.7,43.4,19.7,100,26
"14","01027",88,28,0.318181818181818,0.204545454545455,0.193181818181818,0.193181818181818,0.102272727272727,0.159090909090909,0.147727272727273,0.579545454545455,0.81578947368421,0.184210526315789,0,0,99,8,6070,63.7625155541806,74.3166810082258,0.213,6.1151816307,0.416,28.18887,0.022675367,71.805610712,0.2,49599,14198,1,0.39,4,3.46003788168509,31.8181818181818,14.497528830313,1.31795716639209,16.3097199341021,28.1729821101564,4.9599,0.14198,15.9090909090909,81.578947368421,57.9545454545455,21.3,41.6,20,100,39
"15","01029",84,31,0.369047619047619,0.214285714285714,0.19047619047619,0.119047619047619,0.19047619047619,0.19047619047619,0.0952380952380952,0.452380952380952,0.804878048780488,0.0731707317073171,0.121951219512195,0,134,21,5962,63.5785743596325,72.843750573189,0.198,6.065322307,0.361,26.4848,0.0241003094,72.033794262,0.199,49248,15346,1,0.36,0,3.60834059162992,36.9047619047619,14.0892318014089,3.52230795035223,22.4756793022476,0,4.9248,0.15346,19.047619047619,80.4878048780488,45.2380952380952,19.8,36.1,19.9,100,36
"16","01031",43,19,0.441860465116279,0.13953488372093,0.302325581395349,0.162790697674419,0.0697674418604651,0.232558139534884,0.0930232558139535,0.604651162790698,0.76,0.2,0.04,0,113,13,13470,67.3544652081776,74.102127297392,0.194,5.8034341828,0.395,51.68531,0.0253738945,74.199405108,0.188,62429,54805,0.4753015992,0.34,7,3.78840904946097,44.1860465116279,3.19227913882702,0.965107646622123,8.38901262063846,12.7725572484262,6.2429,0.54805,23.2558139534884,76,60.4651162790698,19.4,39.5,18.8,47.53015992,34
"17","01033",187,63,0.336898395721925,0.165775401069519,0.203208556149733,0.0909090909090909,0.171122994652406,0.294117647058824,0.0748663101604278,0.598930481283422,0.851485148514851,0.128712871287129,0.0198019801980198,0,333,25,27244,63.527265227083,70.0217135405313,0.187,5.848336339,0.393,66.11685,0.0302826944,73.549426021,0.191,54593,58033,0.4029566463,0.43,22,3.51719629552504,33.6898395721925,6.86389663779181,0.917633240346498,12.2228747614154,37.9094653042235,5.4593,0.58033,29.4117647058824,85.1485148514851,59.8930481283422,18.7,39.3,19.1,40.29566463,43
"18","01035",45,24,0.533333333333333,0.0666666666666667,0.2,0.0222222222222222,0.266666666666667,0.422222222222222,0.0222222222222222,0.6,0.533333333333333,0.333333333333333,0.133333333333333,0,89,5,3762,67.0360762048795,72.5198271735327,0.245,6.1071598277,0.453,44.13842,0.0353606789,69.452704307,0.2,36106,11206,1,0.39,0,3.97656152656572,53.3333333333333,11.9617224880383,1.3290802764487,23.6576289207868,0,3.6106,0.11206,42.2222222222222,53.3333333333333,60,24.5,45.3,20,100,39
"20","01039",248,124,0.5,0.229838709677419,0.225806451612903,0.161290322580645,0.0887096774193548,0.217741935483871,0.0766129032258065,0.532258064516129,0.86046511627907,0.127906976744186,0.0116279069767442,0,197,25,18331,68.7850566180345,69.303499088243,0.206,5.8097887394,0.402,47.9693,0.0263331573,71.329176478,0.198,46958,37602,0.6881554432,0.34,13,3.91202300542815,50,13.5289945993126,1.36380993944684,10.7468223228411,34.5726291154726,4.6958,0.37602,21.7741935483871,86.046511627907,53.2258064516129,20.6,40.2,19.8,68.81554432,34
"21","01041",45,11,0.244444444444444,0.2,0.177777777777778,0.0888888888888889,0.244444444444444,0.244444444444444,0.0444444444444444,0.488888888888889,0.862068965517241,0.103448275862069,0,0.0344827586206897,89,6,4570,66.7574132572515,75.1193720848994,0.215,5.9555558563,0.382,22.93052,0.0262673582,70.942186741,0.195,49161,13025,1,0.31,0,3.19640296901614,24.4444444444444,9.84682713347921,1.31291028446389,19.4748358862144,0,4.9161,0.13025,24.4444444444444,86.2068965517241,48.8888888888889,21.5,38.2,19.5,100,31
